epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
32,3493.78,0.92159,2.81731,0.14414,0.5218,0.87181,0.99344,0.98812,0.99477,0.85645,0.99344,0.98812,0.99477,0.97665,0.56987,0.50469,0.02849,0.34651,0.84929,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931
33,3675.64,0.87492,2.56571,0.13998,0.49704,0.87811,0.9928,0.98966,0.99479,0.86347,0.9928,0.98966,0.99479,0.9788,0.54166,0.44616,0.03143,0.33455,0.84244,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
34,3860.09,0.91104,2.87122,0.14149,0.51186,0.86748,0.99482,0.98912,0.99491,0.86259,0.99482,0.98912,0.99491,0.97817,0.54624,0.47198,0.02772,0.33786,0.84318,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733
35,4036.46,0.87504,2.57061,0.1391,0.49749,0.8706,0.9897,0.99298,0.99487,0.86203,0.9897,0.99298,0.99487,0.97975,0.54616,0.44936,0.02793,0.33448,0.84316,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
36,4216.2,0.92074,2.95198,0.1337,0.51291,0.86942,0.99447,0.99075,0.99473,0.86006,0.99447,0.99075,0.99473,0.97677,0.54924,0.47115,0.0251,0.33883,0.84342,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535
37,4395.64,0.84617,2.35319,0.12979,0.48519,0.87405,0.99128,0.98979,0.99444,0.86382,0.99128,0.98979,0.99444,0.98,0.53762,0.44246,0.0263,0.33232,0.84374,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
38,4573.6,0.93221,2.92487,0.13236,0.51272,0.8672,0.99399,0.9905,0.99485,0.86399,0.99399,0.9905,0.99485,0.98206,0.54146,0.43869,0.02356,0.32939,0.84103,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337
39,4752.89,0.91401,2.83938,0.1318,0.51194,0.8657,0.99315,0.98749,0.99482,0.86973,0.99315,0.98749,0.99482,0.97946,0.53112,0.43565,0.02402,0.32677,0.83939,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
40,4927.85,0.90295,2.8162,0.13004,0.50773,0.86686,0.98935,0.98966,0.9946,0.86547,0.98935,0.98966,0.9946,0.97873,0.53846,0.44909,0.02341,0.33034,0.84319,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139
41,5107.97,0.85675,2.44521,0.12184,0.47902,0.86417,0.9927,0.98803,0.9943,0.87149,0.9927,0.98803,0.9943,0.98179,0.52743,0.41109,0.0236,0.32293,0.84004,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
42,5280.37,0.87189,2.66091,0.12157,0.4897,0.86123,0.99183,0.99119,0.99479,0.86943,0.99183,0.99119,0.99479,0.98087,0.52266,0.43526,0.02293,0.32247,0.83864,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941
43,5447.42,0.88359,2.69532,0.11794,0.48679,0.86281,0.99507,0.99021,0.99481,0.87182,0.99507,0.99021,0.99481,0.9824,0.51436,0.40113,0.02075,0.31516,0.83681,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
44,5619.01,0.84772,2.48045,0.11864,0.46981,0.85897,0.99291,0.99093,0.99413,0.87494,0.99291,0.99093,0.99413,0.98216,0.50492,0.3804,0.02105,0.30629,0.83616,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743
45,5793.13,0.90022,2.82239,0.11872,0.4909,0.86151,0.99075,0.99088,0.99473,0.8727,0.99075,0.99088,0.99473,0.98121,0.52062,0.43407,0.01871,0.31875,0.83632,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
46,5977.47,0.83475,2.37669,0.11576,0.47508,0.86104,0.99562,0.98998,0.99484,0.87671,0.99562,0.98998,0.99484,0.98328,0.51358,0.39973,0.02124,0.31222,0.8367,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545
47,6146.66,0.83423,2.30054,0.11158,0.47028,0.86545,0.99238,0.99186,0.99493,0.87649,0.99238,0.99186,0.99493,0.9836,0.50527,0.37988,0.0179,0.30503,0.8352,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446
48,6316.47,0.84591,2.45699,0.11359,0.47537,0.8613,0.99455,0.99363,0.99492,0.8763,0.99455,0.99363,0.99492,0.98347,0.50732,0.39945,0.01862,0.30471,0.83334,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347
49,6487.83,0.83519,2.42221,0.11305,0.46582,0.86123,0.99514,0.99129,0.99467,0.87629,0.99514,0.99129,0.99467,0.98186,0.50915,0.40556,0.01833,0.30889,0.83516,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248
50,6660.51,0.86652,2.63438,0.11152,0.47431,0.86056,0.99314,0.99129,0.99472,0.87916,0.99314,0.99129,0.99472,0.98321,0.50116,0.37761,0.01794,0.30233,0.83516,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149
51,6828.48,0.86816,2.67788,0.11244,0.48051,0.85534,0.99347,0.99334,0.99453,0.8765,0.99347,0.99334,0.99453,0.98327,0.49558,0.37177,0.01909,0.3016,0.83433,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
52,6998.34,0.87811,2.74444,0.11546,0.48142,0.85654,0.99338,0.99565,0.99484,0.87685,0.99338,0.99565,0.99484,0.98239,0.50416,0.39317,0.01719,0.30216,0.8354,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951
